t,source_sat,target_sat,total_duration,total_checkpoint_duration,checkpoint_stats.podman_checkpoint_duration,checkpoint_stats.container_statistics.runtime_checkpoint_duration,checkpoint_stats.container_statistics.criu_statistics.freezing_time,checkpoint_stats.container_statistics.criu_statistics.frozen_time,checkpoint_stats.container_statistics.criu_statistics.memdump_time,checkpoint_stats.container_statistics.criu_statistics.memwrite_time,checkpoint_stats.container_statistics.criu_statistics.pages_scanned,checkpoint_stats.container_statistics.criu_statistics.pages_written,checkpoint_stats.container_statistics.criu_statistics.memdump_time,total_restore_duration,restore_stats.podman_restore_duration,restore_stats.container_statistics.runtime_restore_duration,restore_stats.container_statistics.criu_statistics.forking_time,restore_stats.container_statistics.criu_statistics.pages_restored,restore_stats.container_statistics.criu_statistics.restore_time
1709415575.8527818,43.0.celestial,42.0.celestial,2367621.1833953857,677428.2455444336,431335,90043,1065,71512,7268,6000,8097,596,7268,1690192.9378509521,411772,162041,3,596,88651
1709415633.8256066,42.0.celestial,41.0.celestial,2479103.5652160645,807843.9235687256,602256,151710,101227,35839,2838,1328,8097,600,2838,1671259.6416473389,406707,141665,4,600,73518
1709415716.9012575,41.0.celestial,40.0.celestial,2406908.5121154785,653392.3149108887,462318,60135,1101,35018,2674,1271,8097,602,2674,1753516.1972045898,430719,156020,4,602,84518
1709415795.0479884,40.0.celestial,39.0.celestial,2524609.5657348633,793547.3918914795,550709,155018,101072,33790,2821,1263,8097,603,2821,1731062.1738433838,445231,139337,4,603,68243
1709415878.024649,39.0.celestial,38.0.celestial,2306932.9261779785,601217.7467346191,378016,48570,1118,31395,2496,1473,8097,607,2496,1705715.1794433594,406350,151009,4,607,80312
1709415961.1017065,38.0.celestial,37.0.celestial,2408727.8842926025,688011.1694335938,450737,53412,1330,34419,2811,1605,8097,607,2811,1720716.7148590088,408488,126428,4,607,71177
1709416044.1256616,37.0.celestial,36.0.celestial,2356504.201889038,586148.0236053467,399377,49151,942,32853,2649,1180,8097,607,2649,1770356.1782836914,427147,149041,3,607,83841
1709416122.0666473,36.0.celestial,35.0.celestial,2309974.431991577,645012.8555297852,431246,56614,1268,33500,2181,1136,8097,607,2181,1664961.576461792,410988,171466,3,607,80871
1709416205.2786384,35.0.celestial,34.0.celestial,2539110.8989715576,790130.1383972168,476955,70759,1359,48657,16377,15084,8097,607,16377,1748980.7605743408,468253,127101,4,607,61788
1709416288.4267452,34.0.celestial,33.0.celestial,2470483.0646514893,748747.8256225586,559503,151078,101249,34351,2516,1268,8097,607,2516,1721735.2390289307,435178,146343,4,607,66529
1709416371.7411513,33.0.celestial,32.0.celestial,2619127.7503967285,849623.2032775879,566201,151626,101394,34502,2345,1400,8097,607,2345,1769504.5471191406,484463,143736,6,607,72873
1709416454.8892133,32.0.celestial,31.0.celestial,2454466.1045074463,690089.4641876221,457534,49309,1058,33211,2685,1379,8097,607,2685,1764376.6403198242,491341,168752,4,607,88653
1709416537.8810117,31.0.celestial,30.0.celestial,2309074.1634368896,645714.521408081,405909,50262,1095,32963,2620,1258,8097,607,2620,1663359.6420288086,370537,115342,3,607,56665
1709416615.9535544,30.0.celestial,29.0.celestial,2422251.9397735596,669170.618057251,419401,50309,1088,33222,2439,1247,8097,607,2439,1753081.3217163086,431077,169062,4,607,78792
1709416699.1302764,29.0.celestial,28.0.celestial,2496185.064315796,703165.2927398682,478606,150477,101185,34637,3327,1351,8097,607,3327,1793019.7715759277,445583,152984,4,607,85425
1709416787.1862748,28.0.celestial,27.0.celestial,2346241.9509887695,627236.1278533936,421941,49852,1149,32610,2596,1364,8097,607,2596,1719005.823135376,437807,143201,4,607,80133
1709416870.3583431,27.0.celestial,26.0.celestial,2472971.4393615723,820586.9197845459,584607,152191,101331,34375,3027,1297,8097,607,3027,1652384.5195770264,379640,134475,3,607,75542
1709416953.4257994,26.0.celestial,25.0.celestial,2366757.392883301,677115.6787872314,466463,51689,970,32670,2331,1309,8097,607,2331,1689641.7140960693,384559,103829,3,607,48321
1709417036.4966094,25.0.celestial,24.0.celestial,2391827.5833129883,649914.9799346924,454712,47678,956,31607,2547,1305,8097,607,2547,1741912.603378296,469763,141471,4,607,75581
1709417119.4895294,24.0.celestial,23.0.celestial,2308361.768722534,636360.6452941895,408808,54189,909,34380,2867,1330,8097,607,2867,1672001.1234283447,392572,123230,3,607,62731
1709417202.6223133,23.0.celestial,22.0.celestial,2429232.120513916,647503.137588501,425850,46958,797,31559,2444,1420,8097,607,2444,1781728.982925415,494101,147255,4,607,75013
